body type,Brand,model,modelYear,price,Kms Driven,Fuel Type,Transmission,Max Power,Torque,Mileage,Engine,ownerNo,Insurance Validity,Seats,City
Hatchback,Maruti,Maruti Celerio,2015,4.0,120000,Petrol,Manual,67.0,90.0,23.1,998,3,Third Party insurance,5,Bangalore
MUV,Maruti,Maruti Ertiga,2014,7.86,83007,Diesel,Manual,88.0,200.0,20.77,1248,2,Comprehensive,7,Bangalore
Hatchback,Honda,Honda Jazz,2018,7.45,34000,Petrol,Manual,88.0,110.0,18.7,1199,1,Comprehensive,5,Bangalore
Hatchback,Hyundai,Hyundai Grand i10,2014,4.9,81634,Petrol,Automatic,82.0,114.0,18.9,1197,1,Comprehensive,5,Bangalore
Sedan,Honda,Honda City,2017,9.42,57284,Petrol,Automatic,117.0,145.0,18.0,1497,2,Comprehensive,5,Bangalore
SUV,Ford,Ford Ecosport,2016,6.75,70000,Petrol,Automatic,110.0,140.0,15.63,1499,2,Third Party insurance,5,Bangalore
Hatchback,Honda,Honda Brio,2013,3.3,70000,Petrol,Manual,86.0,109.0,19.4,1198,2,Third Party insurance,5,Bangalore
Sedan,Toyota,Toyota Yaris,2018,8.75,46429,Petrol,Automatic,105.0,140.0,17.8,1496,2,Third Party insurance,5,Bangalore
Hatchback,Maruti,Maruti Baleno,2017,8.69,17624,Petrol,Manual,83.0,115.0,21.4,1197,1,Comprehensive,5,Bangalore
Sedan,Volkswagen,Volkswagen Vento,2012,4.25,100000,Diesel,Manual,103.0,250.0,20.54,1598,2,Third Party insurance,5,Bangalore
Sedan,Honda,Honda City,2019,10.7,30000,Petrol,Manual,117.0,145.0,17.4,1497,1,Third Party insurance,5,Bangalore
